Order #,,UPC,Product Name,Unit Price,Sold Price,Quantity,Total,,Markup,,Total
38010,,720053576542,ALEAF BLOW TORCH 7.5 | BLUE,15,14,3,42,,15.4,,46.2
38010,,810134926967,BLAZY SUSAN METAL GRINDERS | HOT PINK,15,15,1,15,,16.5,,16.5
38010,,810134925830,BLAZY SUSAN METAL GRINDERS | ROSE GOLD,15,15,1,15,,16.5,,16.5
38010,,810134926936,BLAZY SUSAN METAL GRINDERS | SOFT PINK,15,15,1,15,,16.5,,16.5
38010,,51497066796,BLAZY SUSAN PINK COTTON BUDS 100CT,1.85,1.75,2,3.5,,1.925,,3.85
38010,,51497331771,BLAZY SUSAN PINK KING SIZE 50 CT- JAR,10,9,1,9,,9.9,,9.9
38010,,51497315603,BLAZY SUSAN PURPLE 98MM CONES 50CT JAR,10,10,1,10,,11,,11
38010,,789934182586,CANDY FLAVOURED CANDLE LARGE 14oz,7.5,7.5,3,22.5,,8.25,,24.75
38010,,5287000553100,coco nara 20 count,2.5,2.5,1,2.5,,2.75,,2.75
38010,,703364975426,COO TWIST SLIM PEN 1100MAH 12CT,66,60,1,60,,66,,66
38010,,5059362901918,DINNER LADY DUAL FLAVOR 50K PUFFS DISSPOSABLES | BERRY CHERRY LIME/ LIME BERRY ORANGE,70,45,1,45,,49.5,,49.5
38010,,5059362901888,DINNER LADY DUAL FLAVOR 50K PUFFS DISSPOSABLES | BLUE MINT/ MIAMI MINT,70,45,1,45,,49.5,,49.5
38010,,5059362902069,DINNER LADY DUAL FLAVOR 50K PUFFS DISSPOSABLES | FIZZY STRAWBERRY/ FIZZY GRAPE,70,45,1,45,,49.5,,49.5
38010,,5059362901871,DINNER LADY DUAL FLAVOR 50K PUFFS DISSPOSABLES | GRAPE POP/ STRAWBERRY B POP,70,45,1,45,,49.5,,49.5
38010,,5059362901901,DINNER LADY DUAL FLAVOR 50K PUFFS DISSPOSABLES | PEACH BLUE SLUSH/ ORANGE CREAMSICLE,70,45,1,45,,49.5,,49.5
38010,,5059362901949,DINNER LADY DUAL FLAVOR 50K PUFFS DISSPOSABLES | SOUR PINK DUST/ SOUR MANGO PINEAPPLE,70,45,1,45,,49.5,,49.5
38010,,5059362901925,DINNER LADY DUAL FLAVOR 50K PUFFS DISSPOSABLES | ULTIMATE MELON/ ULTIMATE STRAWBERRY,70,45,1,45,,49.5,,49.5
38010,,721405571130,FORMULA 710 ADVANCE CLEANER 2OZ,1.75,1.5,3,4.5,,1.65,,4.95
