Order #,,UPC,Product Name,Unit Price,Sold Price,Quantity,Total
42586,,842426172059,4K's POUCH 4/$1.19 15*4 PK | 4K-S CLASSIC GREEN POUCH,11.75,11,1,11
42586,,842426165365,4K's POUCH 4/$1.19 15*4 PK | 4K-S KIWI BERRY POUCH,11.29,11.29,1,11.29
42586,,842426193504,4K's POUCH 4/$1.29 15*4 PK | 4K-S  PEACH POUCH LIMITED EDITION,14,14,1,14
42586,,842426187954,4K's POUCH 4/$1.29 15*4 PK | 4K-S BLACK SWEET POUCH,14,14,1,14
42586,,842426187862,4K's POUCH 4/$1.29 15*4 PK | 4K-S BLUEBERRY PINEAPPLE POUCH,14.2,14,1,14
42586,,842426187923,4K's POUCH 4/$1.29 15*4 PK | 4K-S DIAMOND POUCH,14,14,1,14
42586,,842426187626,4K's POUCH 4/$1.29 15*4 PK | 4K-S FRENCH VANILLA POUCH,14.2,14,1,14
42586,,842426187749,4K's POUCH 4/$1.29 15*4 PK | 4K-S MELON BERRY POUCH,14.2,14.2,1,14.2
42586,,842426187596,4K's POUCH 4/$1.29 15*4 PK | 4K-S SWEET DELICIOUS POUCH,14,14,1,14
42586,,842426187718,4K's POUCH 4/$1.29 15*4 PK | 4K-S WATERMELON POUCH,14,14,1,14
42586,,842426187770,4K's POUCH 4/$1.29 15*4 PK | 4K-S WHITE GRAPE POUCH,14,14,1,14
42586,,71610340565,BACKWOODS 5PK 8*5 BOX | BACKWOODS BANANA,44.5,44,1,44
42586,,71610341517,BACKWOODS 5PK 8*5 BOX | BACKWOODS CHOCOLATE,36.9,36,1,36
42586,,71610342064,BACKWOODS 5PK 8*5 BOX | BACKWOODS IRISH CREAM LIMITED EDITION,42.99,42,1,42
42586,,71610341739,BACKWOODS 5PK 8*5 BOX | BACKWOODS NOLA BANANA FOSTER,36.9,36,1,36
42586,,71610341920,BACKWOODS 5PK 8*5 BOX | BACKWOODS RUM CAKE,42.99,42.99,1,42.99
42586,,71610302808,BACKWOODS 5PK 8*5 BOX | BACKWOODS RUSSIAN CREAM,42.99,42,1,42
42586,,71610341623,BACKWOODS 5PK 8*5 BOX | BACKWOODS SMOKED CARAMEL,40,40,1,40
42586,,71610301931,BACKWOODS 5PK 8*5 BOX | BACKWOODS SWEET AROMATIC,42.99,42.99,1,42.99
42586,,71610340848,BACKWOODS 5PK 8*5 BOX | BACKWOODS VANILLA (LTD EDITION),44.5,42,1,42
42586,,70137513728,BLACK & MILD FILTER TIP CIGARS 10*5 PK | BLACK & MILD FILTER TIP SWEETS,22.5,22.5,1,22.5
42586,,70137513377,BLACK & MILD FILTER TIP CIGARS 10*5 PK | BLBLACK & MILD FILTER TIP ORIGINAL,22.5,22.5,1,22.5
42586,,70137500889,BLACK & MILD ORIGINAL PLASTIC TIP CIGARS 10*5 BOX | BLACK & MILD APPLE CIGARS,48.99,48.99,1,48.99
42586,,70137500186,BLACK & MILD ORIGINAL PLASTIC TIP CIGARS 10*5 BOX | BLACK & MILD ORIGINAL CIGARS,48.99,48.99,2,97.98
42586,,70137500384,BLACK & MILD ORIGINAL PLASTIC TIP CIGARS 10*5 BOX | BLACK & MILD SELECT CIGARS,48.99,48.99,1,48.99
42586,,70137500230,BLACK & MILD ORIGINAL PLASTIC TIP CIGARS 10*5 BOX | BLACK & MILD WINE CIGARS,48.99,48.99,2,97.98
42586,,70137005889,BLACK & MILD ORIGINAL PLASTIC TIP CIGARS 25PK | BLACK & MILD APPLE CIGARS,24.49,24,1,24
42586,,70137005421,BLACK & MILD ORIGINAL PLASTIC TIP CIGARS 25PK | BLACK & MILD CREAM CIGARS,24.49,24,1,24
42586,,70137511212,BLACK & MILD ORIGINAL PLASTIC TIP CIGARS 25PK | BLACK & MILD JAZZ CIGARS,26.65,26.65,1,26.65
42586,,70137005186,BLACK & MILD ORIGINAL PLASTIC TIP CIGARS 25PK | BLACK & MILD ORIGINAL CIGARS,24.49,24,1,24
42586,,70137005384,BLACK & MILD ORIGINAL PLASTIC TIP CIGARS 25PK | BLACK & MILD SELECT CIGARS,24.49,24.49,1,24.49
42586,,70137005230,BLACK & MILD ORIGINAL PLASTIC TIP CIGARS 25PK | BLACK & MILD WINE CIGARS,24.49,24,1,24
42586,,70137505259,BLACK & MILD ORIGINAL WOOD TIP CIGARS 10*5 BOX | BLACK & MILD ORIGINAL CIGARS,53.49,53.49,1,53.49
42586,,70137511229,BLACK & MILD ORIGINAL WOOD TIP CIGARS 25PK | BLACK & MILD JAZZ CIGARS,27.29,27,1,27
42586,,70137525257,BLACK & MILD ORIGINAL WOOD TIP CIGARS 25PK | BLACK & MILD ORIGINAL CIGARS,27.29,27,1,27
